side_length,messages,exact_radius,farthest_first_radius,approximation_ratio
3,1,2.0,4.0,2.0
3,2,2.0,2.0,1.0
3,3,1.0,2.0,2.0
3,4,1.0,2.0,2.0
3,5,1.0,1.0,1.0
3,6,1.0,1.0,1.0
3,7,1.0,1.0,1.0
3,8,1.0,1.0,1.0
3,9,0.0,0.0,1.0
4,1,4.0,6.0,1.5
4,2,3.0,3.0,1.0
4,3,2.0,3.0,1.5
4,4,1.0,2.0,2.0
4,5,1.0,2.0,2.0
4,6,1.0,1.0,1.0
4,7,1.0,1.0,1.0
4,8,1.0,1.0,1.0
4,9,1.0,1.0,1.0
4,10,1.0,1.0,1.0
4,11,1.0,1.0,1.0
4,12,1.0,1.0,1.0
4,13,1.0,1.0,1.0
4,14,1.0,1.0,1.0
4,15,1.0,1.0,1.0
4,16,0.0,0.0,1.0
5,1,4.0,8.0,2.0
5,2,3.0,4.0,1.3333333333333333
5,3,3.0,4.0,1.3333333333333333
5,4,2.0,4.0,2.0
5,5,2.0,2.0,1.0
5,6,2.0,2.0,1.0
5,7,1.0,2.0,2.0
5,8,1.0,2.0,2.0
5,9,1.0,2.0,2.0
5,10,1.0,2.0,2.0
5,11,1.0,2.0,2.0
5,12,1.0,2.0,2.0
5,13,1.0,1.0,1.0
5,14,1.0,1.0,1.0
5,15,1.0,1.0,1.0
5,16,1.0,1.0,1.0
5,17,1.0,1.0,1.0
5,18,1.0,1.0,1.0
5,19,1.0,1.0,1.0
5,20,1.0,1.0,1.0
5,21,1.0,1.0,1.0
5,22,1.0,1.0,1.0
5,23,1.0,1.0,1.0
5,24,1.0,1.0,1.0
5,25,0.0,0.0,1.0
